name,status,neval_obj_Float16,neval_obj_Float32,neval_obj_Float64,neval_obj_fail_Float16,neval_obj_fail_Float32,neval_obj_fail_Float64,neval_grad_Float16,neval_grad_Float32,neval_grad_Float64,neval_grad_fail_Float16,neval_grad_fail_Float32,neval_grad_fail_Float64
rat42,max_iter,2,10000,50,2,25,0,0,6819,1,0,0,0
genrose,max_iter,3,2187,7905,1,25,0,41,7359,2579,0,0,0
rozman1,max_iter,0,11,9991,0,0,0,0,0,6008,0,0,0
schmvett,exception,1,26,151,0,0,0,2,101,35,0,0,0
sinquad,max_iter,16,6474,3576,8,39,0,57,6219,2247,0,0,0
sparsine,max_iter,12,9818,176,2,0,0,203,9421,152,0,0,0
sparsqur,first_order,20,19,5,7,0,0,20,6,5,0,0,0
srosenbr,max_iter,6,7548,3074,6,561,0,187,7471,2241,0,0,0
thurber,max_iter,0,366,9680,0,42,0,0,401,5817,0,0,0
tquartic,max_iter,2,9870,132,1,0,0,130,7306,69,0,0,0
tridia,first_order,7,5693,3088,1,837,0,122,4396,1371,0,0,0
vardim,first_order,0,25,2,0,0,0,15,25,2,15,0,0
woods,first_order,15,70,145,4,0,0,32,147,43,0,0,0
