name,status,neval_obj_Float16,neval_obj_Float32,neval_obj_Float64,neval_obj_fail_Float16,neval_obj_fail_Float32,neval_obj_fail_Float64,neval_grad_Float16,neval_grad_Float32,neval_grad_Float64,neval_grad_fail_Float16,neval_grad_fail_Float32,neval_grad_fail_Float64
mgh09,first_order,7,11,2,7,0,0,8,11,2,8,0,0
mgh10,first_order,0,1,3,0,0,0,0,1,3,0,0,0
mgh17,first_order,7,33,2,7,0,0,16,31,2,16,0,0
misra1a,first_order,0,12,5,0,0,0,0,0,4,0,0,0
morebv,first_order,1,2218,12546,0,801,0,8,13948,9,0,0,0
nasty,exception,0,1,3,0,1,0,0,0,2,0,0,0
ncb20,first_order,0,546,5713,0,1,0,30,4774,40,0,0,0
ncb20b,first_order,0,15,996,0,0,0,5,601,4,0,0,0
nelson,max_iter,5,982,19160,5,71,0,0,4574,9665,0,0,0
noncvxu2,first_order,10,79,22,3,0,0,37,47,18,0,0,0
noncvxun,first_order,13,55,13,7,0,0,33,23,10,0,0,0
nondia,first_order,2,8,2,0,0,0,2,7,2,0,0,0
nondquar,first_order,9,74,9,2,0,0,17,51,6,0,0,0
osborne1,first_order,4,187,167,1,13,0,1,228,1,0,0,0
osborne2,first_order,2,4830,10235,2,196,0,2,10532,2,0,0,0
palmer1c,first_order,0,1568,2,0,0,0,3,1073,2,3,0,0
palmer1d,first_order,0,516,30,0,6,0,47,325,2,45,0,0
palmer2c,first_order,1,1526,2,1,0,0,2,1149,2,2,0,0
palmer3c,first_order,0,1011,3,0,0,0,1,938,2,0,0,0
palmer4c,first_order,0,954,3,0,0,0,1,885,2,0,0,0
palmer5c,first_order,6,20,12,1,0,0,11,21,7,0,0,0
palmer5d,max_iter,3,7728,13743,3,1030,0,89,14432,39,0,0,0
palmer6c,first_order,1,5,3,0,0,0,1,5,3,0,0,0
palmer7c,first_order,0,4,3,0,0,0,1,4,3,0,0,0
palmer8c,first_order,0,1103,166,0,129,0,1,836,3,0,0,0
penalty1,first_order,1,20,2,1,0,0,19,17,2,16,0,0
penalty2,first_order,0,13,2,0,0,0,12,13,2,12,0,0
penalty3,max_time,0,318,10126,0,4,0,42,7476,2,41,0,0
powellbs,first_order,7,21,6,7,0,0,0,9,5,0,0,0
powellsg,first_order,30,371,15,20,0,0,194,93,14,0,0,0
power,first_order,3,11,5,3,0,0,8,8,5,2,0,0
quartc,first_order,5,19,2,3,0,0,19,10,2,9,0,0
rat42,max_iter,2,17440,4920,2,1444,0,0,12071,1153,0,0,0
genrose,first_order,3,2187,1129,1,25,0,41,2565,35,0,0,0
rozman1,max_iter,0,11,19991,0,0,0,0,0,12020,0,0,0
sbrybnd,max_iter,0,3466,17186,0,311,0,0,12541,1,0,0,0
schmvett,first_order,1,26,60,0,0,0,2,57,3,0,0,0
scosine,max_iter,0,3170,18009,0,899,0,0,5681,8337,0,0,0
sinquad,first_order,16,6474,269,8,39,0,57,5037,78,0,0,0
sparsine,first_order,12,192,81,2,0,0,108,160,80,0,0,0
sparsqur,first_order,12,9,2,1,0,0,12,1,2,0,0,0
spmsrtls,first_order,11,245,11,4,0,0,15,177,6,0,0,0
srosenbr,first_order,6,2807,123,6,0,0,187,2102,95,0,0,0
thurber,first_order,0,58,23,0,0,0,0,45,5,0,0,0
tointgss,first_order,3,9,6,1,0,0,6,5,2,0,0,0
tquartic,max_iter,2,19870,132,1,0,0,130,14155,69,0,0,0
tridia,first_order,7,1414,2,1,0,0,122,948,2,0,0,0
vardim,first_order,0,12,2,0,0,0,11,12,2,11,0,0
vibrbeam,max_iter,0,280,19722,0,0,0,0,99,16071,0,0,0
watson,exception,4,16,9,4,2,0,5,9,4,0,0,0
woods,first_order,15,41,9,4,0,0,31,17,6,0,0,0
