name,status,neval_obj_Float16,neval_obj_Float32,neval_obj_Float64,neval_obj_fail_Float16,neval_obj_fail_Float32,neval_obj_fail_Float64,neval_grad_Float16,neval_grad_Float32,neval_grad_Float64,neval_grad_fail_Float16,neval_grad_fail_Float32,neval_grad_fail_Float64
misra1a,first_order,0,12,9,0,0,0,0,0,8,0,0,0
morebv,max_iter,1,2218,8586,0,801,0,8,9989,9,0,0,0
nasty,exception,0,1,3,0,1,0,0,0,2,0,0,0
ncb20,max_iter,0,546,9526,0,1,0,30,6367,2908,0,0,0
ncb20b,max_iter,0,15,9988,0,0,0,5,4200,3931,0,0,0
nelson,max_iter,5,954,9186,5,69,0,0,4319,2812,0,0,0
noncvxu2,max_iter,10,121,9896,3,11,0,38,8744,19,0,0,0
noncvxun,max_iter,13,135,9884,7,13,0,36,6078,530,0,0,0
nondia,max_iter,2,2923,8671,0,1545,0,2,3016,4603,0,0,0
nondquar,max_iter,9,9100,2396,2,701,0,20,6426,6,0,0,0
osborne1,max_iter,4,187,9837,1,13,0,1,1561,4887,0,0,0
osborne2,max_iter,2,4830,5719,2,196,0,2,7250,2,0,0,0
palmer1c,max_iter,0,4084,6414,0,312,0,3,6817,2,3,0,0
palmer1d,max_iter,0,4007,6344,0,149,0,48,6090,2,45,0,0
palmer2c,max_iter,1,4168,6237,1,257,0,2,7522,2,2,0,0
palmer3c,max_iter,0,2498,8086,0,528,0,1,9281,2,0,0,0
palmer4c,max_iter,0,2352,8342,0,640,0,1,9281,2,0,0,0
palmer5c,first_order,6,20,48,1,0,0,11,38,35,0,0,0
palmer5d,max_iter,3,7648,3788,3,995,0,89,7204,39,0,0,0
palmer6c,max_iter,1,4847,7373,0,1411,0,1,7088,3,0,0,0
palmer7c,max_iter,0,3140,9694,0,2769,0,1,7329,3,0,0,0
palmer8c,max_iter,0,3320,8981,0,2254,0,1,7553,3,0,0,0
penalty1,first_order,14,27,2,2,0,0,32,17,2,16,0,0
penalty2,first_order,0,15,71,0,0,0,15,62,2,15,0,0
powellsg,max_iter,30,9935,60,20,0,0,248,7040,27,0,0,0
power,first_order,9,45,17,9,0,0,21,30,15,2,0,0
quartc,first_order,8,30,2,3,0,0,23,18,2,9,0,0
rat42,max_iter,2,10000,50,2,25,0,0,6819,1,0,0,0
genrose,max_iter,3,2187,7905,1,25,0,41,7359,2579,0,0,0
rozman1,max_iter,0,11,9991,0,0,0,0,0,6008,0,0,0
schmvett,exception,1,26,151,0,0,0,2,101,35,0,0,0
sinquad,max_iter,16,6474,3576,8,39,0,57,6219,2247,0,0,0
sparsine,max_iter,12,9818,176,2,0,0,203,9421,152,0,0,0
sparsqur,first_order,20,19,5,7,0,0,20,6,5,0,0,0
srosenbr,max_iter,6,7548,3074,6,561,0,187,7471,2241,0,0,0
thurber,max_iter,0,366,9680,0,42,0,0,401,5817,0,0,0
tquartic,max_iter,2,9870,132,1,0,0,130,7306,69,0,0,0
tridia,first_order,7,5693,3088,1,837,0,122,4396,1371,0,0,0
vardim,first_order,0,25,2,0,0,0,15,25,2,15,0,0
woods,first_order,15,70,145,4,0,0,32,147,43,0,0,0
